Tube-tub	Tube ID	Time point	Tub	Tub or dish	Wing	Sex	Wing length	A-B length	B-C length
7-11	11	7	7	Cups	L	M	1684.082	506.073	502.751
7-15	15	7	7	Cups	R	M	1493.261	456.532	466.508
7-16	16	7	7	Cups	L	M	1740.745	531.766	519.001
7-17	17	7	7	Cups	L	M	1821.445	559.14	491.739
7-19	19	7	7	Cups	L	M	1776.801	551.402	578.839
7-20	20	7	7	Cups	R	M	1752.67	569.804	539.789
7-21	21	7	7	Dishes	L	M	1589.079	492.352	500.631
7-21	21	7	7	Cups	L	M	1653.706	515.856	495.171
7-23	23	7	7	Cups	R	M	1658.075	549.231	543.031
7-26	26	7	7	Cups	R	M	1632.701	489.893	488.062
7-30	30	7	7	Cups	L	M	1384.323	405.045	418.561
7-31	31	7	7	Cups	L	M	1715.591	538.359	465.651
7-32	32	7	7	Cups	R	M	1678.509	520.805	497.984
7-34	34	7	7	Dishes	L	M	1530.952	476.135	473.011
7-36	36	7	7	Cups	L	M	1536.897	482.329	493.923
7-37	37	7	7	Dishes	L	M	1570.775	512.11	488.537
7-39	39	7	7	Cups	L	M	1609.637	527.879	515.69
7-39	39	7	7	Dishes	U	M	1673.116	540.867	530.457
7-4	4	7	7	Cups	R	M	1689.733	513.549	536.281
7-40	40	7	7	Cups	L	M	1621.708	483.392	471.868
7-41	41	7	7	Dishes	L	M	1582.289	475.292	448.655
7-41	41	7	7	Cups	L	M	1582.506	521.181	526.327
7-42	42	7	7	Cups	R	M		447.859	348.144
7-43	43	7	7	Cups	R	M	1817.672	535.555	522.593
7-44	44	7	7	Dishes	U	M	1634.378	502.812	497.72
7-45	45	7	7	Cups	L	M	1504.956	468.219	445.383
7-46	46	7	7	Cups	L	M	1764.257	542.029	526.104
7-48	48	7	7	Cups	R	M	1585.661	479.617	481.244
7-49	49	7	7	Cups	L	M	1651.136	505.523	474.559
7-5	5	7	7	Cups	R	M	1595.814	495.146	437.775
7-50	50	7	7	Cups	R	M	1782.409	545.517	544.28
7-51	51	7	7	Cups	U	M	1586.326	476.728	466.188
7-53	53	7	7	Cups	L	M	1687.942	524.242	518.271
7-53	53	7	7	Dishes	U	M	1441.691	434.428	453.189
7-56	56	7	7	Cups	R	M	1680.238	485.769	473.188
7-58	58	7	7	Cups	L	M	1770.216	559.37	560.793
7-59	59	7	7	Cups	L	M	1548.249	488.976	493.306
7-6	6	7	7	Cups	L	M	1638.93	473.698	469.243
7-7	7	7	7	Cups	L	M	1571.533	472.289	480.254
7-9	9	7	7	Cups	U	M	1671.846	513.066	459.324
7-9	9	7	7	Cups	U	M	1676.117	522.078	532.01
8-14	14	8	8	Dishes	R	M		454.984	427.412
8-20	20	8	8	Dishes	L	M	1411.426	432.348	374.046
8-20	20	8	8	Cups	R	M	1696.645	524.528	509.91
8-25	25	8	8	Cups	L	M	1626.089	499.503	467.614
8-26	26	8	8	Dishes	U	M	1387.527	453.976	444.929
8-29	29	8	8	Cups	L	M	1812.403	553.36	556.312
8-30	30	8	8	Cups	L	M	1618.556	518.917	438.904
8-31	31	8	8	Cups	L	M	1582.922	478.556	472.791
8-31	31	8	8	Dishes	R	M	1442.958	425.517	401.614
8-36	36	8	8	Cups	U	M	1618.062	527.314	446.217
8-36	36	8	8	Dishes	U	M	1563.28	477.938	485.339
8-39	39	8	8	Dishes	L	M	1556.036	477.32	493.546
8-42	42	8	8	Cups	R	M	1793.017	553.532	488.152
8-45	45	8	8	Cups	R	M	1732.647	539.594	526.907
8-47	47	8	8	Dishes	U	M	1614.038	509.459	478.433
8-48	48	8	8	Cups	L	M		462.85	418.639
8-49	49	8	8	Dishes	L	M		489.751	522.85
8-5	5	8	8	Cups	L	M	1579.138	442.145	408.179
8-50	50	8	8	Dishes	L	M	1820.749	551.489	481.888
8-52	52	8	8	Dishes	L	M	1568.8	475.17	481.602
8-53	53	8	8	Dishes	L	M	1693.6	547.214	513.923
8-54	54	8	8	Dishes	R	M	1737.825	493.955	487.373
8-57	57	8	8	Dishes	L	M	1635.77	501.129	480.281
9-10	10	9	9	Cups	U	M	1580.901	504.713	496.514
9-11	11	9	9	Cups	R	M	1452.814	466.844	446.288
9-12	12	9	9	Cups	L	M	1708.58	547.032	516.727
9-14	14	9	9	Cups	L	M	1507.977	484.9	448.949
9-15	15	9	9	Cups	L	M	1362.011	429.575	427.416
9-17	17	9	9	Cups	R	M	1568.596	519.076	494.281
9-19	19	9	9	Cups	U	M	1732.178	512.874	500.506
9-20	20	9	9	Cups	L	M	1625.76	529.106	500.334
9-20	20	9	9	Dish	R	M	1415.33	424.09	416.09
9-21	21	9	9	Cups	L	M	1692.587	527.517	522.39
9-22	22	9	9	Dish	R	M	1531.71	439.54	386.28
9-23	23	9	9	Cups	U	M			1517.944
9-24	24	9	9	Dish	L	M	1576.23	480.37	472.75
9-24	24	9	9	Cups	L	M	1492.833	510.123	469.54
9-25	25	9	9	Cups	R	M	1641.944	523.115	508.725
9-26	26	9	9	Cups	R	M	1693.483	527.108	497.659
9-27	27	9	9	Cups	L	M	1600.665	522.112	491.092
9-29	29	9	9	Cups	L	M	1501.612	468.049	449.567
9-33	33	9	9	Dish	L	M	1476	419.52	387.63
9-33	33	9	9	Cups	L	M	1462.43	463.896	480.603
9-34	34	9	9	Dish	L	R	1385.24	403.63	387.63
9-36	36	9	9	Cups	L	M	1369.67	448.804	415.4
9-36	36	9	9	Dish	R	M	1527.74	448.92	456.14
9-37	37	9	9	Cups	L	M	1751.93	496.429	437.53
9-38	38	9	9	Dish	L	M	1612.73	506.27	515.37
9-38	38	9	9	Cups	U	M	1605.777	501.804	544.905
9-39	39	9	9	Cups	L	M	1447.838	419.225	492.462
9-41	41	9	9	Cups	L	M	1650.232	516.165	517.484
9-42	42	9	9	Cups	L	M	1664.566	519.714	496.907
9-43	43	9	9	Dish	R	M	1694.18	522.17	511.49
9-43	43	9	9	Cups	U	M	1689.954	498.679	506.768
9-44	44	9	9	Cups	L	M	1559.153	486.413	484.348
9-45	45	9	9	Cups	U	M	1686.502	524.52	479.102
9-45	45	9	9	Cups	U	M	1668.779	535.256	477.563
9-47	47	9	9	Dish	L	M	1602.35	492.68	464.56
9-47	47	9	9	Cups	L	M	1465.329	468.227	390.313
9-48	48	9	9	Dish	R	M	1737.85	553.3	539.28
9-49	49	9	9	Cups	L	M	1669.964	522.907	521.628
9-5	5	9	9	Cups	R	M	1752.035	536.193	510.07
9-50	50	9	9	Cups	R	M	1647.015	508.127	513.217
9-50	50	9	9	Dish	R	M	1695.14	492.74	486.38
9-51	51	9	9	Cups	R	M	1615.801	511.614	495.571
9-51	51	9	9	Dish	R	M	1322.46	390.97	408.97
9-52	52	9	9	Cups	L	M	1665.799	532.567	480.749
9-52	52	9	9	Dish	R	M	1740.45	544.83	446.97
9-53	53	9	9	Cups	L	M	1718.627	546.68	546.841
9-53	53	9	9	Dish	R	M	1603.48	487.48	465.48
9-54	54	9	9	Dish	R	M	1687.13	503.98	507.41
9-54	54	9	9	Cups	U	M	1727.863	576.798	564.092
9-56	56	9	9	Cups	L	M	1691.798	522.104	527.97
9-57	57	9	9	Dish	L	M	1419.12	455.27	422
9-59	59	9	9	Cups	L	M			
9-6	6	9	9	Cups	L	M	1577.13	497.479	502.98
9-7	7	9	9	Cups	L	M	1499.719	497.514	443.224
